                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4544,                0.86533,                 1.0494,                0.64309,                0.59922,                0.59738,                0.28917,                 1.4977,                 1.0543,                  1.043,               0.070018,              0.0033314,              0.0033314
                      2,                 1.3093,                0.67825,                0.99864,                0.76595,                0.75605,                0.76957,                0.40349,                 1.2626,                0.62356,                0.97526,               0.039688,              0.0063348,              0.0063348
                      3,                 1.2463,                0.62846,                0.98001,                0.80277,                0.78132,                0.81327,                0.44768,                 1.1811,                0.56815,                0.94617,              0.0090279,              0.0090082,              0.0090082
                      4,                 1.1923,                 0.5872,                0.96412,                0.83974,                0.80648,                0.84581,                0.47417,                 1.1205,                0.52449,                0.92749,               0.008515,               0.008515,               0.008515
                      5,                 1.1528,                 0.5596,                0.95361,                 0.8618,                0.82586,                0.87003,                0.50327,                 1.0859,                0.49468,                0.91728,               0.008515,               0.008515,               0.008515
                      6,                 1.1258,                0.54025,                0.94585,                0.87251,                0.83603,                0.88351,                 0.5185,                 1.0591,                0.47964,                0.90932,                0.00802,                0.00802,                0.00802
                      7,                 1.1022,                0.52423,                0.93963,                0.87817,                0.84546,                0.89177,                0.53109,                 1.0394,                0.46492,                0.90281,               0.007525,               0.007525,               0.007525
                      8,                 1.0838,                0.51117,                0.93432,                0.88517,                0.85103,                0.89866,                0.54019,                 1.0255,                0.45593,                0.89954,                0.00703,                0.00703,                0.00703
                      9,                  1.067,                0.50149,                0.93026,                0.88957,                0.85603,                0.90472,                0.54669,                 1.0142,                 0.4509,                0.89647,               0.006535,               0.006535,               0.006535
                     10,                 1.0542,                0.49267,                0.92632,                0.89124,                0.85889,                 0.9069,                0.55066,                 1.0061,                0.44659,                0.89403,                0.00604,                0.00604,                0.00604
                     11,                 1.0588,                 0.4888,                 0.9229,                0.89236,                0.86076,                 0.9089,                0.55426,                0.99925,                0.44344,                0.89219,               0.005545,               0.005545,               0.005545
                     12,                 1.0388,                0.47621,                0.91691,                0.89334,                0.86408,                0.91091,                0.55733,                0.99276,                0.44024,                0.89059,                0.00505,                0.00505,                0.00505
                     13,                 1.0258,                0.46865,                 0.9133,                0.89336,                0.86806,                0.91262,                 0.5602,                0.98712,                0.43747,                0.88905,               0.004555,               0.004555,               0.004555
                     14,                 1.0105,                0.46021,                0.90955,                0.89371,                0.86944,                0.91369,                0.56341,                0.98158,                 0.4346,                0.88768,                0.00406,                0.00406,                0.00406
                     15,                 0.9992,                0.45304,                0.90594,                0.89615,                 0.8718,                0.91576,                0.56692,                0.97644,                 0.4318,                0.88633,               0.003565,               0.003565,               0.003565
                     16,                0.98648,                0.44541,                0.90195,                0.89886,                0.87347,                 0.9178,                0.56984,                0.97132,                0.42931,                0.88493,                0.00307,                0.00307,                0.00307
                     17,                0.97464,                0.43836,                0.89924,                0.89948,                0.87434,                0.91901,                0.57255,                0.96595,                0.42638,                0.88348,               0.002575,               0.002575,               0.002575
                     18,                0.96498,                0.43217,                0.89671,                 0.8995,                0.87623,                0.92088,                0.57526,                0.96079,                 0.4236,                0.88208,                0.00208,                0.00208,                0.00208
                     19,                0.95233,                0.42495,                0.89334,                0.90123,                0.87763,                0.92249,                0.57804,                 0.9557,                0.42073,                0.88071,               0.001585,               0.001585,               0.001585
                     20,                0.94286,                0.41919,                  0.891,                0.90346,                0.87834,                0.92396,                0.58057,                0.95115,                0.41824,                0.87946,                0.00109,                0.00109,                0.00109
